1 3.5894176 0.72137626 3.9248456 0.92211024 3.2949841 0.57777146
2 4.3059656 0.76236289 4.633692 0.93310869 3.9939581 0.59272646
3 4.7583709 0.79017705 5.0845987 0.96134131 4.4346779 0.60749609
4 5.097265 0.794716 5.3897928 0.92551212 4.7852475 0.62385979
5 5.3882492 0.78324458 5.6523318 0.92510791 5.0637302 0.63338963
6 5.6375627 0.78472739 5.8442444 0.90894086 5.3067256 0.65258564
7 5.8513713 0.77725716 6.0678143 0.91719688 5.5207932 0.67179016
8 6.0651334 0.78356597 6.2216002 0.90491582 5.7519794 0.70474076
9 6.2319144 0.79433654 6.3530871 0.8834054 5.9450721 0.74065308
10 6.373303 0.82131788 6.4871244 0.86810019 6.1749002 0.78339634
11 6.5111255 0.85418578 6.6253983 0.85819295 6.3553695 0.81647398
12 6.6757756 0.87436871 6.7740698 0.86620906 6.5724038 0.86592313
13 6.8616477 0.89953256 6.9519086 0.88202521 6.8145897 0.91109262
14 7.0219091 0.92240261 7.1139332 0.89449237 6.9760998 0.94527854
15 7.2025013 0.92415844 7.2347656 0.89239582 7.1766566 0.95992631
16 7.337835 0.92680769 7.3994537 0.88710391 7.3168732 0.97730153
17 7.4372875 0.93081808 7.5479536 0.8659306 7.433842 0.97336513
18 7.5197697 0.94150344 7.6525538 0.8374857 7.5191305 0.96992971
19 7.5834258 0.93663074 7.7170496 0.80144437 7.6221765 0.96977927
20 7.6017001 0.91092277 7.7945311 0.77045497 7.7438396 0.93912717
21 7.6372378 0.89052326 7.817838 0.77879401 7.8214537 0.94599674
22 7.7143582 0.84132698 7.7833876 0.79455953 7.8107001 0.96024588
23 7.7674377 0.81300112 7.7794475 0.81238558 7.8367764 0.89088509
24 7.8492677 0.7708712 7.8124412 0.82219015 7.9324211 0.89393551
25 7.931202 0.69848239 8.0233908 0.71258291 7.9645397 0.89767338
